Name,Lat,Lon,Category
John Brotchie Nursery School,-33.942627,151.196138,School
Secondary College of Languages,-33.8137843,151.0086802,School
Chifley College Senior Campus,-33.769305,150.829855,School
St Marys Senior High School,-33.763119,150.770024,School
Sydney Secondary College Blackwattle Bay Campus,-33.875142,151.188357,School
Australia Street Infants School,-33.895783,151.177607,School
Russell Lea Public School,-33.861418,151.142572,School
Taverners Hill Infants School,-33.888955,151.157199,School
Northern Beaches Secondary College Freshwater Senior Campus,-33.76751,151.279975,School
Yeo Park Infants School,-33.902692,151.130055,School
Fowler Road School,-33.841497,150.975533,School
Sefton Infants School,-33.889237,151.009588,School
Mount Lewis Infants School,-33.916084,151.04976,School
Bankstown South Infants School,-33.93123,151.038402,School
Arncliffe West Infants School,-33.931832,151.14516,School
Bardwell Park Infants School,-33.933428,151.12555,School
Hurstville Grove Infants School,-33.973128,151.090536,School
Field of Mars Environmental Education Centre,-33.816092,151.132849,School
Bradfield College,-33.820468,151.188457,School
Bankstown Senior College,-33.929121,151.022569,School
Wyndham College,-33.72608922,150.8795746,School
Arndell School,-33.803223,151.125535,School
Bridge Road School,-33.887445,151.175254,School
Dorchester School,-34.088474,150.826331,School
Kyeemagh Public School,-33.94902,151.162305,School
Putland School,-33.764297,150.750385,School
"Georges River College, Oatley Senior Campus",-33.977001,151.081391,School
Centennial Park School,-33.910564,151.243184,School
Verona School,-33.868235,150.9709,School
Palm Avenue School,-33.80257496,150.9851858,School
Royal Far West School,-33.798519,151.288476,School
Stewart House School,-33.77349,151.29131,School
Kamay Botany Bay Environmental Education Centre,-34.003706,151.221169,School
Brewongle Environmental Education Centre,-33.48167,150.891511,School
Camden Park Environmental Education Centre,-34.120004,150.709685,School
Georges River Environmental Education Centre,-33.910278,150.961511,School
Gibberagong Environmental Education Centre,-33.65937821,151.1586004,School
Longneck Lagoon Environmental Education Centre,-33.576219,150.892806,School
Observatory Hill Environmental Education Centre,-33.860863,151.204832,School
Penrith Lakes Environmental Education Centre,-33.728553,150.686511,School
Royal National Park Environmental Education Centre,-34.06282,151.057682,School
Wooglemai Environmental Education Centre,-34.134567,150.499162,School
NSW School of Languages,-33.894807,151.150285,School
St George Hospital School,-33.96671,151.13399,School
Royal Prince Alfred Hospital School,-33.889314,151.180245,School
Royal North Shore Hospital School,-33.820685,151.19079,School
Sydney Childrens Hospital School,-33.919053,151.239067,School
Sutherland Hospital School,-34.038034,151.114597,School
Bankstown Hospital School,-33.933446,151.021069,School
The Childrens Hospital School,-33.802243,150.991834,School
Liverpool Hospital School,-33.919912,150.931084,School
Abbotsford Public School,-33.852728,151.131206,School
Annandale Public School,-33.885782,151.169599,School
Annandale North Public School,-33.877905,151.171835,School
Ashbury Public School,-33.898833,151.11944,School
Ashfield Public School,-33.889723,151.12821,School
Banksmeadow Public School,-33.953739,151.20661,School
Bellevue Hill Public School,-33.886986,151.259785,School
Beverly Hills Public School,-33.953449,151.085209,School
Birchgrove Public School,-33.853009,151.177045,School
Blakehurst Public School,-33.98298,151.115779,School
Bondi Beach Public School,-33.8883,151.276821,School
Botany Public School,-33.94316,151.194687,School
Brighton-Le-Sands Public School,-33.962357,151.148929,School
Bronte Public School,-33.900605,151.262011,School
Camdenville Public School,-33.906146,151.175741,School
Canterbury Public School,-33.908761,151.122306,School
Caringbah Public School,-34.053433,151.122988,School
Carlton Public School,-33.963496,151.12246,School
Carlton South Public School,-33.973045,151.128287,School
Clemton Park Public School,-33.929708,151.108423,School
Clovelly Public School,-33.907431,151.26028,School
Como Public School,-34.001832,151.069127,School
Connells Point Public School,-33.984689,151.100306,School
Coogee Public School,-33.920819,151.249846,School
Cronulla Public School,-34.054077,151.14773,School
Darlington Public School,-33.892638,151.18939,School
Double Bay Public School,-33.874856,151.240894,School
Drummoyne Public School,-33.856073,151.153035,School
Earlwood Public School,-33.928982,151.12238,School
Engadine Public School,-34.06335,151.012431,School
Five Dock Public School,-33.866859,151.127318,School
Forest Lodge Public School,-33.882169,151.181597,School
Fort Street Public School,-33.860427,151.204871,School
Glenmore Road Public School,-33.881385,151.230233,School
Gymea Bay Public School,-34.046905,151.082825,School
Haberfield Public School,-33.879467,151.134002,School
Heathcote Public School,-34.086704,151.007321,School
Hurstville Public School,-33.964695,151.110728,School
Hurstville South Public School,-33.972516,151.099252,School
Kegworth Public School,-33.886514,151.14693,School
Kensington Public School,-33.909604,151.224965,School
Kingsgrove Public School,-33.947822,151.10156,School
Bexley North Public School,-33.940838,151.120374,School
Kogarah Public School,-33.962028,151.136618,School
Kurnell Public School,-34.010156,151.203773,School
La Perouse Public School,-33.978352,151.235423,School
Malabar Public School,-33.962214,151.248559,School
Maroubra Bay Public School,-33.944236,151.253017,School
Mascot Public School,-33.928577,151.192485,School
Matraville Public School,-33.955064,151.229111,School
Menai Public School,-34.01213,151.006587,School
Miranda Public School,-34.034645,151.097405,School
Mortdale Public School,-33.972901,151.080995,School
Newtown North Public School,-33.891821,151.185392,School
Nicholson Street Public School,-33.855744,151.193188,School
Oatley Public School,-33.983741,151.080332,School
Orange Grove Public School,-33.872278,151.158678,School
Peakhurst Public School,-33.955402,151.062306,School
Penshurst Public School,-33.962636,151.087702,School
Rainbow Street Public School,-33.924647,151.237164,School
Rockdale Public School,-33.952626,151.141681,School
Rose Bay Public School,-33.873011,151.270962,School
St Peters Public School,-33.912993,151.176696,School
Sans Souci Public School,-33.99499,151.12923,School
Summer Hill Public School,-33.895815,151.135853,School
Sutherland Public School,-34.033001,151.059149,School
Sylvania Public School,-34.008118,151.112077,School
Taren Point Public School,-34.01808,151.12269,School
