Name,Lat,Lon,Category
St Leonards,-33.822438,151.1941934,Station
Marrickville,-33.9139638,151.1536185,Station
Green Square,-33.9061988,151.2024361,Station
Edgecliff,-33.8792403,151.2361365,Station
Rooty Hill,-33.7715179,150.8450104,Station
Lidcombe,-33.8638146,151.0452428,Station
Flemington,-33.8648765,151.069948,Station
Waterfall,-34.1344488,150.9944558,Station
Hurstville,-33.9673964,151.1025692,Station
Bondi Junction,-33.8912429,151.248455,Station
Clyde,-33.8359746,151.017066,Station
Parramatta,-33.8175113,151.0054009,Station
Faulconbridge,-33.6964307,150.5350695,Station
Warrawee,-33.7242007,151.1217112,Station
Waitara,-33.7099879,151.1042928,Station
Tascott,-33.4509136,151.3186164,Station
Point Clare,-33.4461883,151.3284368,Station
Concord West,-33.8484033,151.0856114,Station
Hurlstone Park,-33.9105924,151.1317928,Station
Richmond,-33.598844,150.7526484,Station
Thornleigh,-33.731822,151.0783865,Station
Pennant Hills,-33.7379225,151.0725562,Station
Normanhurst,-33.7208458,151.0970511,Station
Cabramatta,-33.8950021,150.9388097,Station
Turramurra,-33.7323074,151.1283777,Station
Bulli,-34.334431,150.9147602,Station
Thirroul,-34.3181745,150.9189104,Station
Coledale,-34.2895651,150.9432304,Station
Coalcliff,-34.242165,150.9774905,Station
Yallamundi,-33.8099627,151.0292707,Station
Dundas,-33.8038084,151.0332216,Station
Telopea,-33.7944048,151.0411442,Station
Carlingford,-33.7819695,151.0471842,Station
Blacktown,-33.76845,150.9074065,Station
Auburn,-33.8492852,151.0328346,Station
Thirlmere,-34.2045304,150.5718107,Station
Rosehill Gardens,-33.8181399,151.0244892,Station
Wollongong,-34.4270314,150.8881858,Station
North Wollongong,-34.4121206,150.8914366,Station
Koolewong,-33.4664036,151.318514,Station
Narara,-33.3947187,151.3443981,Station
Niagara Park,-33.3831387,151.3545,Station
Wyong,-33.2854758,151.425225,Station
Tuggerah,-33.3078002,151.4201947,Station
Ourimbah,-33.3595346,151.3699367,Station
Wombarra,-34.2757504,150.9533594,Station
Douglas Park,-34.1832452,150.7102539,Station
Domestic Airport,-33.9336301,151.1808722,Station
Fairfield,-33.8724177,150.9570025,Station
Yerrinbool,-34.3718188,150.5434455,Station
Strathfield,-33.871703,151.0942326,Station
Burwood,-33.8771445,151.1040382,Station
Wentworthville,-33.8071839,150.9726612,Station
Menangle,-34.1252956,150.7443838,Station
Carlton,-33.9682381,151.1244983,Station
Miranda,-34.0363125,151.102695,Station
Coniston,-34.4377384,150.8852807,Station
Corrimal,-34.3757279,150.9048557,Station
Menangle Park,-34.103653,150.7449641,Station
Woonona,-34.3495876,150.9152056,Station
Kings Cross,-33.8744874,151.2222308,Station
Artarmon,-33.808856,151.1851425,Station
International Airport,-33.9349749,151.1658747,Station
Windsor,-33.6136867,150.8110535,Station
Kingsgrove,-33.9405679,151.1006334,Station
Doonside,-33.7639932,150.868382,Station
Kogarah,-33.9621586,151.132574,Station
Circular Quay,-33.8613593,151.2107193,Station
Town Hall,-33.873567,151.2068498,Station
Engadine,-34.0678648,151.0147301,Station
Milsons Point,-33.8458627,151.2117909,Station
Wollstonecraft,-33.8317125,151.1917276,Station
Como,-34.0043476,151.068064,Station
Heathcote,-34.0879621,151.0082554,Station
Helensburgh,-34.1769399,150.9948093,Station
Mortdale,-33.9708469,151.0811258,Station
Penshurst,-33.9661553,151.0891799,Station
Allawah,-33.9696934,151.1145108,Station
St Peters,-33.9072863,151.1806702,Station
Austinmer,-34.3064757,150.9292241,Station
