Name,Lat,Lon,Category
Woolworths,-34.0436411,151.1183731,Supermarket
Woolworths,-33.9445458,151.2249659,Supermarket
Woolworths Metro,-33.9512672,151.2499369,Supermarket
Coles,-33.8770719,151.2071568,Supermarket
Coles Chatswood Chase,-33.7935172,151.1864637,Supermarket
Woolworths,-33.8888624,151.1235965,Supermarket
Coles,-33.8900655,151.1248645,Supermarket
Coles,-33.8747396,151.1069987,Supermarket
Woolworths,-33.8744396,151.1050072,Supermarket
Woolworths,-33.778528,151.107676,Supermarket
Coles,-33.7326235,151.1273443,Supermarket
Woolworths,-33.7313049,151.0819032,Supermarket
Woolworths,-33.755084,151.1518233,Supermarket
Coles,-33.6712368,150.6080029,Supermarket
Woolworths,-34.0640468,151.0137778,Supermarket
Woolworths,-33.7337606,150.928205,Supermarket
Woolworths,-33.9182121,150.9239052,Supermarket
Woolworths,-33.8867361,150.8897456,Supermarket
Coles,-33.7578989,150.6925299,Supermarket
Woolworths,-33.789278,150.6684464,Supermarket
Coles,-33.7182834,150.9201619,Supermarket
Coles,-33.867843,151.1290895,Supermarket
Coles,-33.428425,151.3159551,Supermarket
Woolworths,-33.7527934,150.6587882,Supermarket
Coles,-33.6758204,151.3055511,Supermarket
Coles,-33.9443176,151.2238456,Supermarket
Woolworths Woy Woy,-33.4862746,151.3257188,Supermarket
Woolworths,-33.8287181,150.9514309,Supermarket
Woolworths,-33.8181755,150.9331628,Supermarket
Woolworths,-33.4257529,151.3440886,Supermarket
Coles,-33.40486,151.3513842,Supermarket
Woolworths,-33.8151359,151.1691258,Supermarket
Woolworths,-33.7465487,150.9522412,Supermarket
Coles,-33.9594429,151.15442,Supermarket
Woolworths Metro,-33.8648113,151.2064613,Supermarket
Coles,-33.9861952,151.1468869,Supermarket
Woolworths,-33.7586008,150.9923688,Supermarket
Coles,-33.7300036,151.0057637,Supermarket
Coles,-33.7590089,150.9909112,Supermarket
Woolworths,-33.8579345,151.1811878,Supermarket
Coles Oatley West,-33.980438,151.0760584,Supermarket
Woolworths,-33.7443556,150.8094212,Supermarket
Coles,-33.6070776,150.818948,Supermarket
Woolworths,-33.6051584,150.8214583,Supermarket
Coles Hurstville,-33.9665259,151.1051259,Supermarket
Coles Hurstville Station,-33.9672223,151.1022627,Supermarket
Woolworths,-33.962419,151.1328907,Supermarket
Coles,-33.7128398,150.9720455,Supermarket
Coles,-33.7781165,151.1209738,Supermarket
Woolworths,-33.7776776,151.1201923,Supermarket
Woolworths Metro,-34.0538968,151.1524304,Supermarket
Coles,-33.9194401,150.9246498,Supermarket
Woolworths,-33.8102799,151.2085435,Supermarket
Woolworths,-33.7726145,150.9700783,Supermarket
Woolworths,-33.7506749,150.6905954,Supermarket
Coles,-33.769033,151.2661234,Supermarket
Coles,-33.8656811,151.2062069,Supermarket
Woolworths,-33.7658958,151.2647602,Supermarket
Coles,-33.5817415,150.7207911,Supermarket
Woolworths,-33.7679775,150.8197084,Supermarket
Woolworths,-33.8945995,151.2049073,Supermarket
Woolworths Metro,-33.9390492,151.1149829,Supermarket
Coles,-33.7989033,151.2870032,Supermarket
