@lat,@lon,name,brand
-34.0436411,151.1183731,Woolworths,Woolworths
-33.9445458,151.2249659,Woolworths,Woolworths
-33.9512672,151.2499369,Woolworths Metro,Woolworths Metro
-33.8770719,151.2071568,Coles,Coles
-33.7935172,151.1864637,Coles Chatswood Chase,Coles
-33.8888624,151.1235965,Woolworths,Woolworths
-33.8900655,151.1248645,Coles,Coles
-33.8747396,151.1069987,Coles,Coles
-33.8744396,151.1050072,Woolworths,Woolworths
-33.7785280,151.1076760,Woolworths,Woolworths
-33.7326235,151.1273443,Coles,Coles
-33.7313049,151.0819032,Woolworths,Woolworths
-33.7550840,151.1518233,Woolworths,Woolworths
-33.6712368,150.6080029,Coles,Coles
-34.0640468,151.0137778,Woolworths,Woolworths
-33.7337606,150.9282050,Woolworths,Woolworths
-33.9182121,150.9239052,Woolworths,Woolworths
-33.8867361,150.8897456,Woolworths,Woolworths
-33.7578989,150.6925299,Coles,Coles
-33.7892780,150.6684464,Woolworths,Woolworths
-33.7182834,150.9201619,Coles,Coles
-33.8678430,151.1290895,Coles,Coles
-33.4284250,151.3159551,Coles,Coles
-33.7527934,150.6587882,Woolworths,Woolworths
-33.6758204,151.3055511,Coles,Coles
-33.9443176,151.2238456,Coles,Coles
-33.4862746,151.3257188,Woolworths Woy Woy,Woolworths
-33.8287181,150.9514309,Woolworths,Woolworths
-33.8181755,150.9331628,Woolworths,Woolworths
-33.4257529,151.3440886,Woolworths,Woolworths
-33.4048600,151.3513842,Coles,Coles
-33.8151359,151.1691258,Woolworths,Woolworths
-33.7465487,150.9522412,Woolworths,Woolworths
-33.9594429,151.1544200,Coles,Coles
-33.8648113,151.2064613,Woolworths Metro,Woolworths Metro
-33.9861952,151.1468869,Coles,Coles
-33.7586008,150.9923688,Woolworths,Woolworths
-33.7300036,151.0057637,Coles,Coles
-33.7590089,150.9909112,Coles,Coles
-33.8579345,151.1811878,Woolworths,Woolworths
-33.9804380,151.0760584,Coles Oatley West,Coles
-33.7443556,150.8094212,Woolworths,Woolworths
-33.6070776,150.8189480,Coles,Coles
-33.6051584,150.8214583,Woolworths,Woolworths
-33.9665259,151.1051259,Coles Hurstville,Coles
-33.9672223,151.1022627,Coles Hurstville Station,Coles
-33.9624190,151.1328907,Woolworths,Woolworths
-33.7128398,150.9720455,Coles,Coles
-33.7781165,151.1209738,Coles,Coles
-33.7776776,151.1201923,Woolworths,Woolworths
-34.0538968,151.1524304,Woolworths Metro,Woolworths Metro
-33.9194401,150.9246498,Coles,Coles
-33.8102799,151.2085435,Woolworths,Woolworths
-33.7726145,150.9700783,Woolworths,Woolworths
-33.7506749,150.6905954,Woolworths,Woolworths
-33.7690330,151.2661234,Coles,Coles
-33.8656811,151.2062069,Coles,Coles
-33.7658958,151.2647602,Woolworths,Woolworths
-33.5817415,150.7207911,Coles,Coles
-33.7679775,150.8197084,Woolworths,Woolworths
-33.8945995,151.2049073,Woolworths,Woolworths
-33.9390492,151.1149829,Woolworths Metro,Woolworths Metro
-33.7989033,151.2870032,Coles,Coles
-33.8154480,150.9714286,Woolworths Wentworthville,Woolworths
-33.8701406,151.2252405,Woolworths Metro,Woolworths Metro
-33.3853616,151.3677247,Coles,Coles
-33.8821986,151.0002949,Woolworths Chester Hill,Woolworths
-33.8340473,151.0556606,Woolworths Newington,Woolworths
-33.7669754,150.7699916,Woolworths,Woolworths
-34.4952207,150.7940729,Woolworths,Woolworths
-34.4941172,150.7955353,Coles,Coles
-33.6015297,151.0069111,Woolworths,Woolworths
-33.8863247,151.1582955,Coles,Coles
-33.8296546,151.2186431,Coles,Coles
-33.9145805,150.9621001,Coles,Coles
-33.9477743,150.8994282,Coles,Coles
-33.6902023,150.9275802,Woolworths,Woolworths
-33.6921072,150.9258191,Coles,Coles
-33.8932306,150.9385289,Woolworths,Woolworths
-33.8572100,151.1031659,Coles,Coles
-33.8220911,151.1339111,Woolworths Metro,Woolworths Metro
-33.7047506,151.0993583,Woolworths,Woolworths
-33.7032774,151.1011196,Coles,Coles
-33.8750628,151.2224263,Coles,Coles
-34.1918841,150.9821520,Coles,Coles
-33.7121947,151.2979876,Woolworths,Woolworths
-33.8833118,151.2159415,Woolworths Metro,Woolworths Metro
-34.0683674,150.8111495,Coles,Coles
-34.0683942,150.8101469,Woolworths,Woolworths
-34.0754121,150.7980966,Woolworths,Woolworths
-34.0757276,150.7981771,Coles,Coles
-34.0714712,150.8038638,Woolworths,Woolworths
-33.7935191,151.2644589,Coles,Coles
-33.9151746,151.0409224,Woolworths,Woolworths
-34.0349243,151.0989592,Woolworths,Woolworths
-33.8083685,151.0064546,Coles Parramatta North,Coles
-33.6957119,151.2952831,Woolworths,Woolworths
-33.6964885,151.2949301,Coles,Coles
-33.7505958,151.2246462,Woolworths,Woolworths
-33.9305917,151.1541661,Woolworths,Woolworths
-33.7329862,150.9626977,Coles,Coles
-33.9334853,150.9492869,Woolworths,Woolworths
-33.9990316,150.8639334,Woolworths,Woolworths
-33.7489665,150.8795340,Coles,Coles
-33.8694880,151.1963751,Coles,Coles
-33.4861499,150.1537648,Coles,Coles
-33.8716758,151.0320995,Woolworths Berala,Woolworths
-33.8821210,151.2278436,Woolworths Metro,Woolworths Metro
-33.8975883,151.2133838,Coles,Coles
-33.8035289,150.9795849,Coles Westmead,Coles
-33.7921756,151.0814900,Woolworths,Woolworths
-33.8027349,150.9555400,Woolworths,Woolworths
-33.9163633,151.0373091,Coles Bankstown,Coles
-34.1687013,150.6136503,Coles,Coles
-34.2231181,150.5925944,Woolworths,Woolworths
-33.9343534,151.0690979,Coles,Coles
-33.7166170,150.3097851,Woolworths,Woolworths
-33.9197639,150.8830457,Woolworths,Woolworths
-33.7687743,151.0278074,Coles,Coles
-33.7764170,151.0528086,Woolworths,Woolworths
-33.8702280,151.1929945,Woolworths Metro,Woolworths Metro
-33.9968174,151.0422476,Coles Illawong,Coles
-33.7741450,150.6961010,Woolworths,Woolworths
-33.2396252,151.5037314,Woolworths,Woolworths
-33.2412704,151.5046423,Coles,Coles
-33.3267930,151.4289037,Coles,Coles
-33.8849317,151.1483629,Woolworths,Woolworths
-33.7755774,150.9312462,Woolworths,Woolworths
-33.4390130,151.3952262,Woolworths,Woolworths
